Lab: ,AGAT LABORATORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company:,Suncor Energy Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hole ID:, SUNCOR ET AL HANGSTN 9-4-85-9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Date:,06/05/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reported Date:,06/05/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dry Sieve,,,,,,,,,Full PSD Curve,,,,,,,,,,,,,,,,,,,,,MB,
,,,Depth,,10 Mesh,18 Mesh,40 Mesh,60 Mesh,100 Mesh,200 Mesh,325 Mesh,<325,PSD Total,Sieve - % Passing,,,,,,,Coulter - % Passing,,,,,,,,,,,d90,d50,d10,MBI,PSD MB Sample Comment
,,,From,To,(2mm),(1mm),(425µm),(250µm),(150µm),(75µm),(45µm),(<45µm),,(2000 µm),(1000 µm),(420 µm),(250 µm),(149 µm),(74.3 µm),(44.2 µm),(44 µm),(31 µm),(22 µm),(16 µm),(11 µm),(7.8 µm),(6.6 µm),(3.9 µm),(2.8 µm),(1.9 µm),(1.3 µm),,,,,
RC_Number,Hole_ID,SID,m,m,% wt,% wt,% wt,% wt,% wt,% wt,% wt,% Passing,%,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,% vol,µm,µm,µm,meq/100g,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,15,457.92,458.20,0.02,0.20,0.63,4.81,52.27,31.52,3.42,7.14,100.00,99.98,99.78,99.15,94.35,42.08,10.56,7.14,6.76,5.65,4.71,3.92,3.08,2.38,2.07,1.21,0.81,0.47,0.25,239.47,161.16,68.22,0.36,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,16,458.88,459.25,0.04,0.00,0.07,9.53,68.15,15.23,1.41,5.58,100.00,99.96,99.96,99.89,90.36,22.22,6.98,5.58,5.25,4.42,3.73,3.15,2.55,2.04,1.80,1.10,0.74,0.42,0.21,249.31,184.00,85.27,0.18,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,17,460.00,460.35,0.05,0.09,0.21,11.61,70.05,12.18,1.25,4.57,100.00,99.95,99.86,99.65,88.05,18.00,5.82,4.57,4.16,3.38,2.76,2.26,1.76,1.33,1.14,0.63,0.40,0.21,0.10,272.80,188.74,94.34,0.18,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,18,460.75,461.10,0.05,0.02,0.07,16.38,69.93,9.30,0.81,3.45,100.00,99.95,99.93,99.86,83.48,13.56,4.26,3.45,3.19,2.58,2.13,1.77,1.40,1.09,0.95,0.55,0.36,0.20,0.10,307.32,195.13,114.18,0.18,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,19,461.79,462.15,0.00,0.25,0.32,20.08,64.76,7.95,1.23,5.41,100.00,100.00,99.75,99.42,79.34,14.58,6.63,5.41,4.90,4.05,3.35,2.81,2.26,1.77,1.54,0.88,0.56,0.30,0.15,329.24,197.74,99.77,0.18,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,20,462.90,463.20,0.02,0.12,0.10,19.63,65.87,7.81,0.72,5.72,100.00,99.98,99.86,99.76,80.13,14.25,6.45,5.72,5.13,4.25,3.48,2.88,2.26,1.73,1.48,0.82,0.51,0.27,0.13,324.52,197.31,101.99,0.18,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,21,463.93,464.25,0.03,0.07,0.21,18.10,69.58,9.55,0.93,1.54,100.00,99.97,99.90,99.69,81.58,12.01,2.46,1.54,1.38,1.12,0.91,0.74,0.57,0.43,0.37,0.20,0.13,0.07,0.03,318.19,197.66,128.71,0.18,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,22,465.00,465.23,0.05,0.02,0.12,16.77,64.31,12.63,1.21,4.87,100.00,99.95,99.93,99.81,83.04,18.72,6.09,4.87,4.53,3.75,3.13,2.64,2.12,1.66,1.44,0.82,0.52,0.27,0.13,310.09,191.64,92.16,0.18,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,23,465.95,466.23,0.02,0.11,0.30,23.57,63.58,7.36,0.83,4.23,100.00,99.98,99.88,99.58,76.00,12.42,5.06,4.23,4.00,3.34,2.81,2.39,1.91,1.49,1.28,0.71,0.44,0.22,0.10,340.19,202.31,118.51,0.18,
RC27991, SUNCOR ET AL HANGSTN 9-4-85-9 ,24,466.98,467.30,0.04,0.07,0.22,20.90,65.63,8.29,1.03,3.83,100.00,99.96,99.89,99.67,78.78,13.15,4.86,3.83,3.43,2.90,2.41,2.03,1.62,1.25,1.08,0.60,0.38,0.20,0.09,330.33,199.25,114.38,0.18,
