
                                              Design Report       15-May-2019 15:55:27

Client...................: Suncor Energy
Field....................: Firebag(NAD83)
Well.....................: SUNCOR P123P8 FIREBAG 8-31-94-5   
Wellbore.................: 102/8-31(P123P8) Lic #0490457     
Design/Survey............: 102/8-31(P123P8) - Final Survey   
U.W.I....................: 102083109405W400
Bottom Hole Location.....: .


----- Survey calculation methods-------------                ----- Geomagnetic data ----------------------
Method for positions.....: Minimum Curvature                 Magnetic model...........: BGGM2018
                                                             Magnetic field strength..:   58448.80 HCNT
                                                             Magnetic dec (+E/W-).....:      14.37 degrees
                                                             Magnetic dip.............:      78.35 degrees

----- Depth reference -----------------------                ----- Corrections --------------------------
Depth reference..........: Actual RKB                                Magnetic dec (+E/W-).....:     14.374 degrees
Ground Level.......:     584.50 m                            Grid convergence (+E/W-).:       0.18  degrees
KB.......:    593.70 m                                       Total az corr (+E/W-)....:      14.37  degrees

----- Site Location---------------                        
Site Latitude:57° 11' 6.251 N
Site Longitude :110° 47' 31.263 W
Site Northing :6338006.50m
Site Easting :512571.70m

----- Well Location---------------    
Well Latitude :57° 11' 5.279 N
Well Longitude :110° 47' 30.077 W
Well Northing :6337976.50m
Well Easting :512591.70m

----- Cartographic System-------------
North American Datum 1983 Universal Transverse Mercator, Zone 12N (114 W to 108 W)
North Reference :True


----------------------------------------------------------------
MD,Inc,Azim.,SSTVD,TVD,N/S,E/W,Y,X,DLS,V.S.,Comment
(m),(Deg),(Deg),(m),(m),(m),(m),(m),(m),(dega/30m),(m)

415.660,80.520,35.580,-323.048,270.652,125.039,195.919,6338102.137,512787.236,9.669,153.052, 
425.140,80.720,32.720,-321.502,272.198,132.779,201.169,6338109.893,512792.462,8.952,161.493, 
434.390,80.970,29.620,-320.030,273.670,140.592,205.895,6338117.720,512797.164,9.959,169.927, 
444.020,80.990,26.800,-318.520,275.180,148.972,210.390,6338126.114,512801.634,8.677,178.887, 
453.170,81.850,24.570,-317.155,276.545,157.125,214.311,6338134.279,512805.530,7.760,187.537, 
462.600,81.300,23.010,-315.773,277.927,165.660,218.074,6338142.826,512809.267,5.212,196.540, 
471.820,80.930,20.160,-314.349,279.351,174.130,221.425,6338151.306,512812.592,9.241,205.417, 
481.350,81.060,17.590,-312.857,280.843,183.035,224.469,6338160.220,512815.609,8.001,214.679, 
490.770,81.920,15.260,-311.463,282.237,191.971,227.103,6338169.164,512818.216,7.833,223.909, 
500.170,81.570,13.210,-310.113,283.587,200.987,229.391,6338178.187,512820.475,6.570,233.167, 
509.270,81.440,10.590,-308.768,284.932,209.793,231.246,6338186.999,512822.304,8.553,242.152, 
518.520,81.880,7.700,-307.426,286.274,218.828,232.701,6338196.038,512823.731,9.383,251.302, 
527.890,82.870,5.140,-306.183,287.517,228.056,233.739,6338205.269,512824.741,8.720,260.582, 
537.380,85.360,3.330,-305.210,288.490,237.469,234.436,6338214.684,512825.409,9.713,269.992, 
546.900,87.480,2.610,-304.616,289.084,246.957,234.928,6338224.174,512825.872,7.054,279.447, 
556.050,88.080,1.480,-304.261,289.439,256.094,235.254,6338233.312,512826.170,4.192,288.529, 
565.230,87.420,0.660,-303.901,289.799,265.266,235.425,6338242.484,512826.314,3.438,297.622, 
574.670,87.210,0.120,-303.458,290.242,274.695,235.489,6338251.913,512826.349,1.840,306.954, 
584.290,89.230,0.090,-303.160,290.540,284.310,235.507,6338261.528,512826.337,6.300,316.463, 
593.830,89.830,0.150,-303.081,290.619,293.849,235.527,6338271.068,512826.328,1.896,325.897, 
603.240,89.970,359.980,-303.065,290.635,303.259,235.538,6338280.478,512826.310,0.702,335.202, 
612.610,90.130,0.060,-303.073,290.627,312.629,235.541,6338289.848,512826.285,0.573,344.466, 
621.990,89.930,0.740,-303.078,290.622,322.009,235.607,6338299.227,512826.321,2.267,353.749, 
631.380,89.530,0.670,-303.034,290.666,331.398,235.722,6338308.617,512826.408,1.297,363.049, 
