 SCIENTIFIC DRILLING INTERNATIONAL
 COMPANY 		: Suncor Energy Inc.
 FIELD   		: Firebag
 SITE    		: 2-10-95-6 W4M (PAD 105)
 WELL   		: Suncor P105N18 Firebag 3-3-95-6
 WELLPATH		: 105/03-03-095-06W4/00
 LICENSE		: 0484034
 DESIGN			: Final Surveys (P105N18)
 MAP SYSTEM		: Universal Transverse Mercator
 GEODIC DATUM		: North American Datum 1983
 MAP ZONE		: Zone 12N (114 W to 108 W)
 CALCULATION METHOD	: Minimum Curvature

 GRID COORDINATES					    ,   ,   , GEOGRAPHIC COORDINATES	 
 EASTING 		: 507061.35 m    ,   ,   , 			LATITUDE		: 57° 13' 17.825 N
 NORTHING 		: 6342061.91 m    ,   ,   , 		LONGITUDE		: 110° 52' 59.029 W
 VSECT DIREC 		: 192.23 deg 
 NORTH REF		: True
 GRID CONVERGENCE	: 0.10 deg 
 KB ELEV  		: 604.51 m 
 GL ELEV 		: 598.91 m 
 SURVEY DATE		: 9/22/2017

 MAGNETIC MODEL		: USER DEFINED
 REFERENCE DATE		: 10/13/2017
 FIELD STRENGTH		: 57898.00 nT 
 DIP ANGLE		: 78.42 deg 
 DECLINATION		: 12.28 deg 

 , , , , , Local Coordinates, ,UTM Coordinates
Measured Depth,Incl.,Azim.,Sub-Sea Depth,Vertical Depth,+N/S-,+E/W-,Northings,Eastings,Vertical Section,Dogleg Rate
     m    ,  ,    m    ,      m    ,       m    ,     m    ,     m     ,           m     ,       m     ,      m     ,    °/30m   ,
   300.00,   67.290,  239.710,    -356.00,     248.51,     -74.75,  -99.46, 6341986.991N,  506962.022E,     94.11,      8.04,    ,
   310.00,   68.600,  240.880,    -352.25,     252.26,     -79.34, -107.51, 6341982.385N,  506953.980E,    100.31,      5.10,    ,
   320.00,   69.330,  241.920,    -348.66,     255.85,     -83.81, -115.70, 6341977.904N,  506945.793E,    106.41,      3.64,    ,
   330.00,   69.570,  242.780,    -345.15,     259.36,     -88.15, -124.00, 6341973.544N,  506937.506E,    112.41,      2.52,    ,
   340.00,   69.250,  244.070,    -341.63,     262.88,     -92.34, -132.37, 6341969.342N,  506929.141E,    118.28,      3.75,    ,
   350.00,   69.050,  245.520,    -338.07,     266.44,     -96.32, -140.82, 6341965.348N,  506920.693E,    123.96,      4.11,    ,
   360.00,   68.840,  246.810,    -334.48,     270.03,    -100.09, -149.36, 6341961.562N,  506912.163E,    129.45,      3.67,    ,
   370.00,   67.910,  247.500,    -330.79,     273.72,    -103.70, -157.93, 6341957.938N,  506903.603E,    134.79,      3.39,    ,
   376.99,   66.900,  246.220,    -328.11,     276.40,    -106.24, -163.86, 6341955.392N,  506897.673E,    138.53,      6.67,    ,
   387.39,   65.780,  242.000,    -323.93,     280.58,    -110.39, -172.43, 6341951.221N,  506889.113E,    144.41,     11.61,   MWD+IFR1+MS (2),
   396.70,   66.960,  239.260,    -320.20,     284.31,    -114.58, -179.86, 6341947.025N,  506881.688E,    150.07,      8.94,    ,
   405.96,   68.770,  235.690,    -316.71,     287.80,    -119.19, -187.09, 6341942.400N,  506874.467E,    156.11,     12.21,    ,
   415.81,   69.980,  233.890,    -313.24,     291.27,    -124.50, -194.62, 6341937.072N,  506866.945E,    162.90,      6.32,    ,
   424.85,   70.470,  231.380,    -310.18,     294.33,    -129.67, -201.38, 6341931.898N,  506860.193E,    169.37,      8.01,    ,
   434.04,   70.660,  230.030,    -307.12,     297.39,    -135.16, -208.09, 6341926.398N,  506853.496E,    176.16,      4.20,    ,
   443.49,   70.840,  227.410,    -304.01,     300.50,    -141.04, -214.79, 6341920.501N,  506846.802E,    183.33,      7.87,    ,
   452.80,   72.020,  226.480,    -301.04,     303.47,    -147.07, -221.24, 6341914.465N,  506840.364E,    190.58,      4.75,    ,
   462.01,   72.750,  223.220,    -298.25,     306.26,    -153.29, -227.43, 6341908.232N,  506834.186E,    197.97,     10.40,    ,
   471.38,   72.960,  221.210,    -295.49,     309.02,    -159.92, -233.44, 6341901.590N,  506828.181E,    205.73,      6.19,    ,
   480.64,   72.500,  218.910,    -292.74,     311.77,    -166.69, -239.13, 6341894.813N,  506822.502E,    213.55,      7.27,    ,
   489.76,   71.690,  217.610,    -289.94,     314.57,    -173.50, -244.51, 6341887.990N,  506817.140E,    221.35,      4.86,    ,
   498.82,   71.900,  216.310,    -287.11,     317.40,    -180.38, -249.68, 6341881.105N,  506811.977E,    229.16,      4.15,    ,
   508.07,   74.180,  213.410,    -284.41,     320.10,    -187.64, -254.74, 6341873.836N,  506806.935E,    237.33,     11.64,    ,
   517.33,   75.740,  210.560,    -282.00,     322.51,    -195.22, -259.47, 6341866.244N,  506802.212E,    245.74,     10.25,    ,
   526.47,   76.940,  208.020,    -279.85,     324.66,    -202.97, -263.82, 6341858.491N,  506797.881E,    254.23,      9.01,    ,
