# WELL TRACE FROM PETREL 
# WELL NAME:              112140909506W400
# DEFINITIVE SURVEY:      P121P12_Definitive_Survey
# WELL HEAD X-COORDINATE: 505705.40000000 (m)
# WELL HEAD Y-COORDINATE: 6344844.00000000 (m)
# WELL DATUM (KB, KB, from MSL): 595.60000000 (m)
# WELL TYPE:              OIL
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# ANGLES ARE GIVEN IN DEGREES
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM UTM83-12 ("MENTOR:UTM83-12:NAD83 UTM, Zone 12 North, Meter") [SIS,502388]
# AZIM_TN: azimuth in True North 
# AZIM_GN: azimuth in Grid North 
# DX DY ARE GIVEN IN GRID NORTH IN m-UNITS
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
#===============================================================================================================================================
      MD            X            Y            Z           TVD           DX          DY        AZIM_TN        INCL         DLS        AZIM_GN
#===============================================================================================================================================
 0.0000000000 505705.40000 6344844.0000 595.60000000 0.0000000000 0.0000000030 -0.000000002 0.0000000000 0.0000000000 0.0000000000 359.92048640
 9.2000000000 505705.40000 6344844.0000 586.40000000 9.2000000000 0.0000000030 -0.000000002 0.0000000000 0.0000000000 0.0000000000 359.92048640
 17.770000000 505705.39675 6344844.0071 577.83000480 17.769995203 -0.003253838 0.0071433634 335.59000000 0.1050000000 0.3675612602 335.51048640
 26.340000000 505705.38698 6344844.0286 569.26003838 26.339961625 -0.013015350 0.0285734395 335.59000000 0.2100000000 0.3675612602 335.51048640
 31.150000000 505705.38234 6344844.0385 564.45005233 31.149947672 -0.017658467 0.0384501880 332.01692999 0.0501865595 0.9975566374 331.93741639
 35.960000000 505705.38302 6344844.0360 559.64005456 35.959945440 -0.016977819 0.0360061629 158.85000000 0.1100000000 0.9975566374 158.77048640
 40.575000000 505705.38629 6344844.0141 555.02511427 40.574885731 -0.013709934 0.0141379228 174.71983804 0.4426136134 2.1981368869 174.64032444
 45.190000000 505705.38968 6344843.9650 550.41038355 45.189616454 -0.010320402 -0.034954962 176.93000000 0.7800000000 2.1981368869 176.85048640
 49.793333333 505705.38919 6344843.8755 545.80794967 49.792050330 -0.010808488 -0.124534642 182.24909988 1.4531870088 4.4341656164 182.16958628
 54.396666667 505705.38084 6344843.7318 541.20689425 54.393105747 -0.019155705 -0.268171590 184.19402906 2.1309588959 4.4341656164 184.11451546
 59.000000000 505705.36464 6344843.5342 536.60786613 58.992133872 -0.035360874 -0.465845549 185.20000000 2.8100000000 4.4341656164 185.12048640
 67.000000000 505705.34141 6344843.1053 528.61944354 66.980556463 -0.058590791 -0.894657397 181.48604491 3.3499340759 2.1575683532 181.40653130
 75.000000000 505705.34170 6344842.5999 520.63547425 74.964525747 -0.058300610 -1.400119836 178.81000000 3.9000000000 2.1575683532 178.73048640
 78.880000000 505705.35031 6344842.3271 516.76509339 78.834906612 -0.049688472 -1.672862304 177.76665222 4.1693947292 2.1588161059 177.68713861
 82.760000000 505705.36446 6344842.0364 512.89604207 82.703957934 -0.035541122 -1.963627079 176.85000000 4.4400000000 2.1588161059 176.77048640
 87.445000000 505705.37839 6344841.6643 508.22587892 87.374121077 -0.021610962 -2.335712940 178.96492126 4.6821380519 1.8875735799 178.88540765
 92.130000000 505705.37933 6344841.2720 503.55735205 92.042647947 -0.020669163 -2.728025928 180.87000000 4.9300000000 1.8875735799 180.79048640
 92.360000000 505705.37903 6344841.2521 503.32820891 92.271791086 -0.020966472 -2.747850596 181.00694275 4.9644860851 4.7546259702 180.92742914
 92.590000000 505705.37869 6344841.2322 503.09907776 92.500922240 -0.021313230 -2.767812399 181.14200000 4.9990000000 4.7546259702 181.06248640
 96.985000000 505705.36255 6344840.8245 498.72310038 96.876899615 -0.037445966 -3.175509670 183.40871083 5.6610200349 4.7411027333 183.32919723
 101.38000000 505705.32835 6344840.3669 494.35216162 101.24783838 -0.071645020 -3.633051881 185.20000000 6.3300000000 4.7411027333 185.12048640
 106.09000000 505705.26275 6344839.8141 489.67526585 105.92473415 -0.137254059 -4.185894574 188.28539688 7.2569470581 6.3432210808 188.20588328
 110.80000000 505705.15859 6344839.1897 485.00808972 110.59191028 -0.241407604 -4.810266313 190.67000000 8.2000000000 6.3432210808 190.59048640
 115.56500000 505705.00797 6344838.4834 480.29825589 115.30174411 -0.392027464 -5.516564206 193.40261232 9.2467589594 7.0862365295 193.32309872
 120.33000000 505704.80587 6344837.7003 475.60253266 119.99746734 -0.594130094 -6.299705099 195.58000000 10.310000000 7.0862365295 195.50048640
 124.85500000 505704.57042 6344836.8779 471.15927412 124.44072588 -0.829578441 -7.122088101 196.48341272 11.493865977 7.9299208005 196.40389911
 129.38000000 505704.29684 6344835.9712 466.73466511 128.86533489 -1.103162264 -8.028813588 197.22000000 12.680000000 7.9299208005 197.14048640
 132.46000000 505704.08720 6344835.3059 463.73477321 131.86522679 -1.312795275 -8.694052306 197.89973094 13.508465389 8.2075537632 197.82021734
 135.54000000 505703.85668 6344834.6019 460.74529485 134.85470515 -1.543321378 -9.398088520 198.50220797 14.338554249 8.2075537632 198.42269436
 138.62000000 505703.60531 6344833.8592 457.76687662 137.83312338 -1.794690713 -10.14076995 199.04000000 15.170000000 8.2075537632 198.96048640
 143.34000000 505703.20426 6344832.6451 453.22360186 142.37639814 -2.195739144 -11.35491021 197.72270841 16.281433367 7.4192905313 197.64319480
 148.06000000 505702.80354 6344831.3383 448.70608341 146.89391659 -2.596455619 -12.66165766 196.57000000 17.400000000 7.4192905313 196.49048640
 151.18333333 505702.53611 6344830.4198 445.73303520 149.86696480 -2.863891113 -13.58021101 196.06683780 18.288854734 8.6649790315 195.98732420
 154.30666667 505702.26388 6344829.4547 442.77520256 152.82479744 -3.136119509 -14.54526195 195.60882563 19.178907936 8.6649790315 195.52931202
 157.43000000 505701.98693 6344828.4434 439.83331873 155.76668127 -3.413073322 -15.55657124 195.19000000 20.070000000 8.6649790315 195.11048640
 162.17000000 505701.55946 6344826.8280 435.39798612 160.20201388 -3.840538417 -17.17201849 194.62700039 21.234159054 7.4744245367 194.54748678
 166.91000000 505701.12491 6344825.1216 430.99756018 164.60243982 -4.275094541 -18.87839992 194.12000000 22.400000000 7.4744245367 194.04048640
