# WELL TRACE FROM PETREL 
# WELL NAME:              105031609506W400
# DEFINITIVE SURVEY:      P121P13_Definitive_Survey
# WELL HEAD X-COORDINATE: 505699.36000000 (m)
# WELL HEAD Y-COORDINATE: 6344851.97000000 (m)
# WELL DATUM (KB, KB, from MSL): 595.60000000 (m)
# WELL TYPE:              OIL
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# ANGLES ARE GIVEN IN DEGREES
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM UTM83-12 ("MENTOR:UTM83-12:NAD83 UTM, Zone 12 North, Meter") [SIS,502388]
# AZIM_TN: azimuth in True North 
# AZIM_GN: azimuth in Grid North 
# DX DY ARE GIVEN IN GRID NORTH IN m-UNITS
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
#===============================================================================================================================================
      MD            X            Y            Z           TVD           DX          DY        AZIM_TN        INCL         DLS        AZIM_GN
#===============================================================================================================================================
 0.0000000000 505699.36000 6344851.9700 595.60000000 0.0000000000 -0.000000002 0.0000000037 0.0000000000 0.0000000000 0.0000000000 359.92057036
 9.2000000000 505699.36000 6344851.9700 586.40000000 9.2000000000 -0.000000002 0.0000000037 0.0000000000 0.0000000000 0.0000000000 359.92057036
 17.770000000 505699.34696 6344851.9901 577.83004455 17.769955446 -0.013042840 0.0200539865 327.04000000 0.3200000000 1.1201866978 326.96057036
 26.340000000 505699.30783 6344852.0502 569.26035643 26.339643572 -0.052170948 0.0802153079 327.04000000 0.6400000000 1.1201866978 326.96057036
 31.150000000 505699.27547 6344852.0928 564.45065460 31.149345399 -0.084527036 0.1228065295 318.66008905 0.6382207094 0.5825739749 318.58065940
 35.960000000 505699.23697 6344852.1305 559.64095750 35.959042500 -0.123032901 0.1605377430 310.41000000 0.6500000000 0.5825739749 310.33057036
 40.575000000 505699.19349 6344852.1578 555.02624533 40.573754672 -0.166508289 0.1878453782 293.87040527 0.6387243877 1.2071170751 293.79097562
 45.190000000 505699.14286 6344852.1720 550.41154718 45.188452822 -0.217144108 0.2020280249 278.08000000 0.6800000000 1.2071170751 278.00057036
 49.793333333 505699.08278 6344852.1515 545.80868210 49.791317898 -0.277222131 0.1814848827 233.69550424 1.0220214764 4.6702964241 233.61607459
 54.396666667 505699.01071 6344852.0747 541.20658518 54.393414825 -0.349292007 0.1046574069 216.71715834 1.6290266730 4.6702964241 216.63772869
 59.000000000 505698.92666 6344851.9416 536.60597634 58.994023662 -0.433342462 -0.028442383 209.26000000 2.3000000000 4.6702964241 209.18057036
 67.000000000 505698.77540 6344851.6214 528.61385569 66.986144310 -0.584598795 -0.348578169 202.15608380 2.7850507344 2.1657868636 202.07665415
 75.000000000 505698.63459 6344851.2214 520.62514539 74.974854615 -0.725414001 -0.748569473 197.21000000 3.3000000000 2.1657868636 197.13057036
 78.975000000 505698.56976 6344850.9971 516.65701494 78.942985060 -0.790244108 -0.972859840 195.23273892 3.4381163991 1.3620743644 195.15330928
 82.950000000 505698.51001 6344850.7614 512.68946729 82.910532709 -0.849991661 -1.208572667 193.41000000 3.5800000000 1.3620743644 193.33057036
 87.635000000 505698.43695 6344850.4712 508.01404599 87.585954007 -0.923051780 -1.498796485 194.97269206 3.7487297700 1.2554401044 194.89326242
 92.320000000 505698.35262 6344850.1696 503.33953384 92.260466157 -1.007383517 -1.800374799 196.40000000 3.9200000000 1.2554401044 196.32057036
 96.700000000 505698.26467 6344849.8621 498.97125570 96.628744299 -1.095326096 -2.107925240 195.71796908 4.4597531501 3.7125956044 195.63853943
 101.08000000 505698.16907 6344849.5139 494.60618764 100.99381236 -1.190928000 -2.456054194 195.18300000 5.0000000000 3.7125956044 195.10357036
 101.32500000 505698.16350 6344849.4933 494.36212554 101.23787446 -1.196501474 -2.476724461 195.15634235 5.0299994648 3.6844697037 195.07691271
 101.57000000 505698.15790 6344849.4725 494.11807469 101.48192531 -1.202098585 -2.497520650 195.13000000 5.0600000000 3.6844697037 195.05057036
 106.28000000 505698.03565 6344849.0397 489.42965661 106.17034339 -1.324352138 -2.930323249 196.47258083 5.9037921781 5.4358405003 196.39315119
 110.99000000 505697.88456 6344848.5433 484.74838473 110.85161527 -1.475436035 -3.426651664 197.48000000 6.7500000000 5.4358405003 197.40057036
 115.75500000 505697.70355 6344847.9667 480.02197207 115.57802793 -1.656454692 -4.003293808 197.53116894 7.8299976598 6.7996877480 197.45173930
 120.52000000 505697.49538 6344847.3054 475.30779535 120.29220465 -1.864624411 -4.664634532 197.57000000 8.9100000000 6.7996877480 197.49057036
 125.04500000 505697.26577 6344846.5936 470.84515902 124.75484098 -2.094234455 -5.376364755 198.30279512 10.124361223 8.0908270969 198.22336547
 129.57000000 505696.99812 6344845.7950 466.39939078 129.20060922 -2.361884467 -6.174983442 198.88000000 11.340000000 8.0908270969 198.80057036
 132.65000000 505696.79192 6344845.1966 463.38521598 132.21478402 -2.568078324 -6.773355195 199.28815743 12.386188328 10.222804192 199.20872778
 135.73000000 505696.56359 6344844.5478 460.38310733 135.21689267 -2.796414367 -7.422171596 199.63363269 13.432892274 10.222804192 199.55420305
 138.81000000 505696.31318 6344843.8488 457.39407215 138.20592785 -3.046815979 -8.121214940 199.93000000 14.480000000 10.222804192 199.85057036
 141.95666667 505696.03605 6344843.0835 454.35461899 141.24538101 -3.323945423 -8.886483883 200.03920993 15.513289003 9.8549515289 199.95978028
 145.10333333 505695.73886 6344842.2674 451.33034369 144.26965631 -3.621142204 -9.702616375 200.13509301 16.546625106 9.8549515289 200.05566336
