# WELL TRACE FROM PETREL 
# WELL NAME:              100042209506W400
# DEFINITIVE SURVEY:      P121P1 Definitive Survey
# WELL HEAD X-COORDINATE: 505177.06000000 (m)
# WELL HEAD Y-COORDINATE: 6344265.85400000 (m)
# WELL DATUM (KB, KB, from MSL): 597.40000000 (m)
# WELL TYPE:              OIL
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# ANGLES ARE GIVEN IN DEGREES
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM UTM83-12 ("MENTOR:UTM83-12:NAD83 UTM, Zone 12 North, Meter") [SIS,502388]
# AZIM_TN: azimuth in True North 
# AZIM_GN: azimuth in Grid North 
# DX DY ARE GIVEN IN GRID NORTH IN m-UNITS
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
#===============================================================================================================================================
      MD            X            Y            Z           TVD           DX          DY        AZIM_TN        INCL         DLS        AZIM_GN
#===============================================================================================================================================
 0.0000000000 505177.06000 6344265.8540 597.40000000 0.0000000000 0.0000000264 -0.000000003 0.0000000000 0.0000000000 0.0000000000 359.92786397
 9.2000000000 505177.06000 6344265.8540 588.20000000 9.2000000000 0.0000000264 -0.000000003 0.0000000000 0.0000000000 0.0000000000 359.92786397
 12.605000000 505177.06226 6344265.8585 584.79500500 12.604995004 0.0022552537 0.0045177788 26.600000000 0.1700000000 1.4977973568 26.527863974
 16.010000000 505177.06902 6344265.8721 581.39003997 16.009960032 0.0090209144 0.0180710871 26.600000000 0.3400000000 1.4977973568 26.527863974
 21.030000000 505177.07835 6344265.8984 576.37011811 21.029881891 0.0183492211 0.0443693204 11.734570719 0.3025959914 0.5439802124 11.662434694
 26.050000000 505177.07974 6344265.9240 571.35018421 26.049815791 0.0197351679 0.0699796285 354.23000000 0.2900000000 0.5439802124 354.15786397
 30.765000000 505177.06823 6344265.9548 566.63530391 30.764696090 0.0082250406 0.1008186229 331.58531218 0.5248573631 1.7841039518 331.51317615
 35.480000000 505177.03855 6344265.9999 561.92061750 35.479382496 -0.021448766 0.1458726162 323.46000000 0.7900000000 1.7841039518 323.38786397
 40.180000000 505176.99643 6344266.0667 557.22128961 40.178710388 -0.063573624 0.2126616221 330.86012114 1.1399834085 2.3667788552 330.78798511
 44.880000000 505176.94732 6344266.1630 552.52254363 44.877456370 -0.112682674 0.3090361208 334.75000000 1.5000000000 2.3667788552 334.67786397
 49.560000000 505176.88879 6344266.3035 547.84505397 49.554946031 -0.171208628 0.4495265838 339.27543515 2.2314846556 4.7795471618 339.20329912
 54.240000000 505176.81797 6344266.5036 543.16990557 54.230094432 -0.242026233 0.6495945128 341.56000000 2.9700000000 4.7795471618 341.48786397
 56.620000000 505176.77528 6344266.6334 540.79384647 56.606153528 -0.284719691 0.7793849995 342.11375297 3.6148825484 8.1385559916 342.04161695
 59.000000000 505176.72548 6344266.7890 538.41947668 58.980523323 -0.334521147 0.9349697214 342.50000000 4.2600000000 8.1385559916 342.42786397
 67.000000000 505176.53372 6344267.3754 530.44333491 66.956665089 -0.526280691 1.5213985238 341.46771142 4.5903576668 1.2742888222 341.39557540
 75.000000000 505176.31712 6344268.0021 522.47089240 74.929107602 -0.742876210 2.1480623409 340.57400000 4.9220000000 1.2742888222 340.50186397
 75.920000000 505176.29062 6344268.0767 521.55431120 75.845688796 -0.769375809 2.2227057312 340.47928164 4.9599933585 1.2671524648 340.40714561
 76.840000000 505176.26380 6344268.1519 520.63778277 76.762217234 -0.796202057 2.2978778379 340.38600000 4.9980000000 1.2671524648 340.31386397
 83.830000000 505176.04926 6344268.7404 513.67593456 83.724065435 -1.010737285 2.8863684656 339.71826971 5.2886800204 1.2737114173 339.64613368
 90.820000000 505175.81579 6344269.3595 506.71735887 90.682641129 -1.244214947 3.5055235708 339.12000000 5.5800000000 1.2737114173 339.04786397
 95.545000000 505175.63269 6344269.8091 502.01741019 95.382589807 -1.427311241 3.9551128801 336.83074490 6.2209933587 4.3346362484 336.75860888
 100.27000000 505175.41187 6344270.3001 497.32322914 100.07677086 -1.648134471 4.4460613439 334.97000000 6.8700000000 4.3346362484 334.89786397
 104.91500000 505175.15351 6344270.8391 492.71694948 104.68305052 -1.906494321 4.9850978591 334.02453189 7.9241836642 6.8535154019 333.95239586
 109.56000000 505174.84973 6344271.4502 488.12246201 109.27753799 -2.210274847 5.5961936191 333.30000000 8.9800000000 6.8535154019 333.22786397
 112.69666667 505174.62133 6344271.9087 485.02796801 112.37203199 -2.438666565 6.0547034182 333.86183559 9.8259432444 8.1382448309 333.78969956
 115.83333333 505174.37709 6344272.4103 481.94138112 115.45861888 -2.682908469 6.5562762273 334.33536343 10.672667306 8.1382448309 334.26322740
